Address,Postcode,KT1/KT2,Sale_price,Bedrooms,House_type,Freehold/leasehold,Res_new/old,Stationdist_miles,Sale_date,Sale_year,Sale_month,Latitude,Longitude,Easting,Northing,Ward,Introduced,Altitude
"38, Dysart Avenue",KT2 5RB,KT2,963000,4,Semi-Detached,Freehold,Residential,1.0,14-Jul-16,2016,7,51.430977,-0.311754,517459,171571,Tudor,01-1980,9
"25, Barnfield Avenue",KT2 5RD,KT2,725000,4,Terraced,Freehold,Residential,1.2,27-Nov-14,2014,11,51.430882000000004,-0.305126,517920,171571,Tudor,01-1980,11
"17, Barnfield Avenue",KT2 5RD,KT2,950000,4,Semi-Detached,Freehold,Residential,1.2,06-Mar-15,2015,3,51.430882000000004,-0.305126,517920,171571,Tudor,01-1980,11
"3, Barnfield Avenue",KT2 5RD,KT2,800000,3,Semi-Detached,Freehold,Residential,1.2,29-Aug-18,2018,8,51.430882000000004,-0.305126,517920,171571,Tudor,01-1980,11
"38, Barnfield Avenue",KT2 5RE,KT2,625000,3,Terraced,Freehold,Residential,1.2,13-Mar-15,2015,3,51.430343,-0.303908,518006,171513,Tudor,01-1980,10
"54, Barnfield Avenue",KT2 5RE,KT2,595000,3,Terraced,Freehold,Residential,1.2,13-Oct-15,2015,10,51.430343,-0.303908,518006,171513,Tudor,01-1980,10
"72, Barnfield Avenue",KT2 5RE,KT2,580000,3,Terraced,Freehold,Residential,1.2,13-Nov-14,2014,11,51.430343,-0.303908,518006,171513,Tudor,01-1980,10
"26, Barnfield Avenue",KT2 5RE,KT2,860000,4,Terraced,Freehold,Residential,1.2,08-Aug-17,2017,8,51.430343,-0.303908,518006,171513,Tudor,01-1980,10
"58, Barnfield Avenue",KT2 5RE,KT2,699950,3,Terraced,Freehold,Residential,1.2,03-Aug-15,2015,8,51.430343,-0.303908,518006,171513,Tudor,01-1980,10
"134, Barnfield Avenue",KT2 5RF,KT2,795000,4,Terraced,Freehold,Residential,1.1,12-Sep-14,2014,9,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"134, Barnfield Avenue",KT2 5RF,KT2,795000,4,Terraced,Freehold,Residential,1.1,12-Sep-14,2014,9,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"92, Barnfield Avenue",KT2 5RF,KT2,725000,3,Terraced,Freehold,Residential,1.1,24-Jun-16,2016,6,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"94, Barnfield Avenue",KT2 5RF,KT2,775000,4,Terraced,Freehold,Residential,1.1,18-Dec-17,2017,12,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"78, Barnfield Avenue",KT2 5RF,KT2,640000,3,Terraced,Freehold,Residential,1.1,28-Nov-14,2014,11,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"90, Barnfield Avenue",KT2 5RF,KT2,560000,3,Terraced,Freehold,Residential,1.1,25-Apr-14,2014,4,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"142, Barnfield Avenue",KT2 5RF,KT2,725000,4,Terraced,Freehold,Residential,1.1,13-Jun-14,2014,6,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"90, Barnfield Avenue",KT2 5RF,KT2,560000,3,Terraced,Freehold,Residential,1.1,25-Apr-14,2014,4,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"138, Barnfield Avenue",KT2 5RF,KT2,635500,3,Terraced,Freehold,Residential,1.1,24-Jul-14,2014,7,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"120, Barnfield Avenue",KT2 5RF,KT2,735000,3,Terraced,Freehold,Residential,1.1,15-Sep-17,2017,9,51.429169,-0.301089,518205,171387,Tudor,01-1980,10
"111, Barnfield Avenue",KT2 5RG,KT2,935000,4,Terraced,Freehold,Residential,1.2,20-Oct-17,2017,10,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"67, Barnfield Avenue",KT2 5RG,KT2,642000,3,Terraced,Freehold,Residential,1.2,02-Nov-15,2015,11,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"75, Barnfield Avenue",KT2 5RG,KT2,675000,3,Terraced,Freehold,Residential,1.2,27-Jul-18,2018,7,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"129, Barnfield Avenue",KT2 5RG,KT2,620000,4,Terraced,Freehold,Residential,1.2,09-Oct-15,2015,10,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"125, Barnfield Avenue",KT2 5RG,KT2,645000,3,Terraced,Freehold,Residential,1.2,16-Apr-18,2018,4,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"85, Barnfield Avenue",KT2 5RG,KT2,610000,3,Terraced,Freehold,Residential,1.2,28-Aug-15,2015,8,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"91, Barnfield Avenue",KT2 5RG,KT2,585000,3,Terraced,Freehold,Residential,1.2,18-Aug-15,2015,8,51.430191,-0.30213,518130,171499,Tudor,01-1980,10
"31, Barnfield Gardens",KT2 5RH,KT2,715000,3,Semi-Detached,Freehold,Residential,1.2,06-Nov-15,2015,11,51.42985,-0.300359,518254,171464,Tudor,01-1980,11
"42, Barnfield Gardens",KT2 5RJ,KT2,710000,3,Terraced,Freehold,Residential,1.2,30-Jul-15,2015,7,51.429930999999996,-0.299737,518297,171474,Tudor,01-1980,11
"74, Sopwith Close",KT2 5RN,KT2,270000,1,Flat,Leasehold,Residential,1.1,29-Apr-16,2016,4,51.428003000000004,-0.292674,518793,171271,Tudor,01-1991,11
"58, Sopwith Close",KT2 5RN,KT2,203910,1,Flat,Leasehold,Residential,1.1,24-Nov-17,2017,11,51.428003000000004,-0.292674,518793,171271,Tudor,01-1991,11
